ts,area,price_eur_mwh
2025-09-29 22:00:00+00:00,DK1,97.43
2025-09-29 23:00:00+00:00,DK1,91.449997
2025-09-30 00:00:00+00:00,DK1,98.480003
2025-09-30 01:00:00+00:00,DK1,92.220001
2025-09-30 02:00:00+00:00,DK1,98.459999
2025-09-30 03:00:00+00:00,DK1,107.989998
2025-09-30 04:00:00+00:00,DK1,141.860001
2025-09-30 05:00:00+00:00,DK1,244.0
2025-09-30 06:00:00+00:00,DK1,209.229996
2025-09-30 07:00:00+00:00,DK1,141.850006
2025-09-30 08:00:00+00:00,DK1,115.199997
2025-09-30 09:00:00+00:00,DK1,96.720001
2025-09-30 10:00:00+00:00,DK1,87.910004
2025-09-30 11:00:00+00:00,DK1,86.040001
2025-09-30 12:00:00+00:00,DK1,87.260002
2025-09-30 13:00:00+00:00,DK1,96.800003
2025-09-30 14:00:00+00:00,DK1,104.029999
2025-09-30 15:00:00+00:00,DK1,142.639999
2025-09-30 16:00:00+00:00,DK1,294.540009
2025-09-30 17:00:00+00:00,DK1,357.769989
2025-09-30 18:00:00+00:00,DK1,147.279999
2025-09-30 19:00:00+00:00,DK1,116.040001
2025-09-30 20:00:00+00:00,DK1,101.629997
2025-09-30 21:00:00+00:00,DK1,92.540001
