ts,area,price_eur_mwh
2025-08-27 10:00:00+00:00,DK2,66.440002
2025-08-27 11:00:00+00:00,DK2,72.129997
2025-08-27 12:00:00+00:00,DK2,81.690002
2025-08-27 13:00:00+00:00,DK2,80.010002
2025-08-27 14:00:00+00:00,DK2,89.510002
2025-08-27 15:00:00+00:00,DK2,104.940002
2025-08-27 16:00:00+00:00,DK2,134.729996
2025-08-27 17:00:00+00:00,DK2,222.039993
2025-08-27 18:00:00+00:00,DK2,222.029999
2025-08-27 19:00:00+00:00,DK2,128.979996
2025-08-27 20:00:00+00:00,DK2,113.889999
2025-08-27 21:00:00+00:00,DK2,103.300003
2025-08-27 22:00:00+00:00,DK2,97.150002
2025-08-27 23:00:00+00:00,DK2,91.919998
2025-08-28 00:00:00+00:00,DK2,87.889999
2025-08-28 01:00:00+00:00,DK2,87.089996
2025-08-28 02:00:00+00:00,DK2,90.230003
2025-08-28 03:00:00+00:00,DK2,98.720001
2025-08-28 04:00:00+00:00,DK2,119.239998
2025-08-28 05:00:00+00:00,DK2,146.169998
2025-08-28 06:00:00+00:00,DK2,147.490005
2025-08-28 07:00:00+00:00,DK2,124.839996
2025-08-28 08:00:00+00:00,DK2,112.269997
2025-08-28 09:00:00+00:00,DK2,108.129997
2025-08-28 10:00:00+00:00,DK2,101.379997
2025-08-28 11:00:00+00:00,DK2,100.459999
2025-08-28 12:00:00+00:00,DK2,100.889999
2025-08-28 13:00:00+00:00,DK2,100.660004
2025-08-28 14:00:00+00:00,DK2,98.510002
2025-08-28 15:00:00+00:00,DK2,133.039993
2025-08-28 16:00:00+00:00,DK2,164.809998
2025-08-28 17:00:00+00:00,DK2,207.759995
2025-08-28 18:00:00+00:00,DK2,153.139999
2025-08-28 19:00:00+00:00,DK2,124.169998
2025-08-28 20:00:00+00:00,DK2,107.099998
2025-08-28 21:00:00+00:00,DK2,92.150002
2025-08-28 22:00:00+00:00,DK2,85.040001
2025-08-28 23:00:00+00:00,DK2,83.269997
2025-08-29 00:00:00+00:00,DK2,83.099998
2025-08-29 01:00:00+00:00,DK2,81.589996
2025-08-29 02:00:00+00:00,DK2,83.010002
2025-08-29 03:00:00+00:00,DK2,91.0
2025-08-29 04:00:00+00:00,DK2,116.610001
2025-08-29 05:00:00+00:00,DK2,121.870003
2025-08-29 06:00:00+00:00,DK2,120.419998
2025-08-29 07:00:00+00:00,DK2,111.050003
2025-08-29 08:00:00+00:00,DK2,88.290001
2025-08-29 09:00:00+00:00,DK2,91.989998
2025-08-29 10:00:00+00:00,DK2,87.589996
2025-08-29 11:00:00+00:00,DK2,69.529999
2025-08-29 12:00:00+00:00,DK2,76.089996
2025-08-29 13:00:00+00:00,DK2,86.980003
2025-08-29 14:00:00+00:00,DK2,85.0
2025-08-29 15:00:00+00:00,DK2,104.82
2025-08-29 16:00:00+00:00,DK2,120.209999
2025-08-29 17:00:00+00:00,DK2,147.5
2025-08-29 18:00:00+00:00,DK2,116.5
2025-08-29 19:00:00+00:00,DK2,111.959999
2025-08-29 20:00:00+00:00,DK2,95.709999
2025-08-29 21:00:00+00:00,DK2,86.07
2025-08-29 22:00:00+00:00,DK2,90.050003
2025-08-29 23:00:00+00:00,DK2,86.559998
2025-08-30 00:00:00+00:00,DK2,83.279999
2025-08-30 01:00:00+00:00,DK2,81.199997
2025-08-30 02:00:00+00:00,DK2,83.699997
2025-08-30 03:00:00+00:00,DK2,87.410004
2025-08-30 04:00:00+00:00,DK2,95.019997
2025-08-30 05:00:00+00:00,DK2,98.089996
2025-08-30 06:00:00+00:00,DK2,87.339996
2025-08-30 07:00:00+00:00,DK2,72.889999
2025-08-30 08:00:00+00:00,DK2,41.349998
2025-08-30 09:00:00+00:00,DK2,11.11
2025-08-30 10:00:00+00:00,DK2,9.5
2025-08-30 11:00:00+00:00,DK2,8.35
2025-08-30 12:00:00+00:00,DK2,12.96
2025-08-30 13:00:00+00:00,DK2,25.01
2025-08-30 14:00:00+00:00,DK2,35.459999
2025-08-30 15:00:00+00:00,DK2,73.040001
2025-08-30 16:00:00+00:00,DK2,99.599998
2025-08-30 17:00:00+00:00,DK2,122.059998
2025-08-30 18:00:00+00:00,DK2,127.529999
2025-08-30 19:00:00+00:00,DK2,117.650002
2025-08-30 20:00:00+00:00,DK2,102.57
2025-08-30 21:00:00+00:00,DK2,90.300003
2025-08-30 22:00:00+00:00,DK2,88.739998
2025-08-30 23:00:00+00:00,DK2,78.910004
2025-08-31 00:00:00+00:00,DK2,70.529999
2025-08-31 01:00:00+00:00,DK2,67.029999
2025-08-31 02:00:00+00:00,DK2,62.98
2025-08-31 03:00:00+00:00,DK2,62.990002
2025-08-31 04:00:00+00:00,DK2,63.27
2025-08-31 05:00:00+00:00,DK2,53.73
2025-08-31 06:00:00+00:00,DK2,23.09
2025-08-31 07:00:00+00:00,DK2,13.44
2025-08-31 08:00:00+00:00,DK2,6.78
2025-08-31 09:00:00+00:00,DK2,7.44
2025-08-31 10:00:00+00:00,DK2,5.35
2025-08-31 11:00:00+00:00,DK2,6.49
2025-08-31 12:00:00+00:00,DK2,10.75
2025-08-31 13:00:00+00:00,DK2,10.0
2025-08-31 14:00:00+00:00,DK2,32.689999
2025-08-31 15:00:00+00:00,DK2,74.900002
2025-08-31 16:00:00+00:00,DK2,115.480003
2025-08-31 17:00:00+00:00,DK2,134.800003
2025-08-31 18:00:00+00:00,DK2,132.059998
2025-08-31 19:00:00+00:00,DK2,114.150002
2025-08-31 20:00:00+00:00,DK2,100.459999
2025-08-31 21:00:00+00:00,DK2,89.760002
2025-08-31 22:00:00+00:00,DK2,84.029999
2025-08-31 23:00:00+00:00,DK2,81.43
2025-09-01 00:00:00+00:00,DK2,80.510002
2025-09-01 01:00:00+00:00,DK2,77.900002
2025-09-01 02:00:00+00:00,DK2,79.730003
2025-09-01 03:00:00+00:00,DK2,88.419998
2025-09-01 04:00:00+00:00,DK2,117.709999
2025-09-01 05:00:00+00:00,DK2,128.380005
2025-09-01 06:00:00+00:00,DK2,116.099998
2025-09-01 07:00:00+00:00,DK2,98.190002
